,close_CEX_x,open_CEX_x,ETH_USDT,open,high,low,close,volume,rolling_volatility,rolling_avg_price_diff,price_change,jump_intensity,bid_price,ask_price,eth_inventory,bubble_inventory,cashflow,pnl_eth,pnl_usd,price,price_difference,spread_multiplier,discrepancy_spread_component
2024-12-23 08:09:00,1.3426827374481861e-06,1.3426344649312117e-06,3350.13,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,6.71098424134248e-09,0.0,0.0,1.3290938154826726e-06,1.3700470204923024e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4448.5522066872745,1.3495704179874874e-06,6.887680539301304e-09,0.0101,0.0001
2024-12-23 08:10:00,1.3426123494074782e-06,1.3431195728772262e-06,3348.92,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,6.705800529955975e-09,0.0,0.0,1.329098999194059e-06,1.3700418367809158e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4446.945478539384,1.3495704179874874e-06,6.9580685800092355e-09,0.0101,0.0001
2024-12-23 08:11:00,1.3416815742397136e-06,1.3432515044416849e-06,3350.08,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,6.967525972746671e-09,0.0,0.0,1.3288372737512683e-06,1.3703035622237063e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4448.485812962154,1.3495704179874874e-06,7.888843747773853e-09,0.0101,0.0001
2024-12-23 08:12:00,1.3418777943368107e-06,1.3407871198568872e-06,3354.0,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,7.360953042527393e-09,0.0,0.0,1.3284438466814876e-06,1.370696989293487e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4453.691081011518,1.3495704179874874e-06,7.692623650676705e-09,0.0101,0.0001
2024-12-23 08:13:00,1.3395422511098342e-06,1.3408853778506485e-06,3354.5,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,7.787703074947427e-09,0.0,0.0,1.3280170966490676e-06,1.3711237393259073e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4454.355018262712,1.3495704179874874e-06,1.0028166877653197e-08,0.0101,0.0001
2024-12-23 08:14:00,1.3409253517767708e-06,1.340105815064802e-06,3358.69,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,8.063636096732867e-09,0.0,0.0,1.3277411636272823e-06,1.3713996723476928e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4459.918812427721,1.3495704179874874e-06,8.645066210716608e-09,0.0101,0.0001
2024-12-23 08:15:00,1.3420656114335158e-06,1.340329119961841e-06,3354.4,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,8.085663434431716e-09,0.0,0.0,1.3277191362895834e-06,1.3714216996853915e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4454.222230812474,1.3495704179874874e-06,7.504806553971615e-09,0.0101,0.0001
2024-12-23 08:16:00,1.341609274940421e-06,1.3426543381161664e-06,3351.57,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,7.952720459591758e-09,0.0,0.0,1.3278520792644233e-06,1.3712887567105516e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4450.464345970714,1.3495704179874874e-06,7.961143047066382e-09,0.0101,0.0001
2024-12-23 08:17:00,1.3405945141500571e-06,1.341022458769899e-06,3351.92,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,8.060199193070481e-09,0.0,0.0,1.3277446005309446e-06,1.3713962354440302e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4450.92910204655,1.3495704179874874e-06,8.975903837430326e-09,0.0101,0.0001
2024-12-23 08:18:00,1.3420738974970204e-06,1.3411052639425157e-06,3353.95,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,8.003882353506625e-09,0.0,0.0,1.3278009173705084e-06,1.3713399186044663e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4453.6246872863985,1.3495704179874874e-06,7.496520490467027e-09,0.0101,0.0001
