block_number,timestamp,tx_hash,log_index,pool_contract_address,tick_lower,tick_upper,amount,amount0,amount1
21446583,2024-12-20 22:01:11,0xcd779286b691382fdac68cf4d7a46a095b90d853c0bda63e46563b3dec1d6551,394,0xc57cac126676471c547d2d9b1c283e56ef1b28f4,187980,195240,0,0,0
21446600,2024-12-20 22:04:35,0xe8452472673347804d1d7ec693a71947e1b3afbfe04a43b8a9d92865a093942e,572,0x9ba3f47fe7f5a12562ba0a4a5645d8bf9ea1dd8e,-203800,-198800,0,0,0
21446609,2024-12-20 22:06:23,0xec0853c279d1effd3b3edca13fe70148d3c83caadd85f6828351956512b07eb7,178,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,-887270,887270,15109259466177,886697704,257460598457518045
21446612,2024-12-20 22:06:59,0x66196ba7c82abd8d4ab7ea7fd0082a78c809b32dc1270625025096ce07650e00,67,0x11b815efb8f581194ae79006d24e0d814b7697f6,-194880,-194870,10024804378713522176,11435942649696930627,254750170127
21446616,2024-12-20 22:07:47,0xb314e82c50ba8fb7cc375dd645147239c25fd6d88aad34f4bc6eed820a247961,127,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,-887270,887270,45627466557092,2678283528,777313410864534321
21446621,2024-12-20 22:08:47,0x817af0a14a7bed49c97e29193c635a8f3764994e609f8227820f0e0ee4754460,73,0x13dc0a39dc00f394e030b97b0b569dedbe634c0d,-114600,-114180,26123821504055316840448,0,1800607968610474785
21446626,2024-12-20 22:09:47,0xd8216fc2301fcb42109e23b61eeb1ef675c7e6e28aeca53e25c3a8982859add7,551,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,-887270,887270,49626389369702,2917475089,844147232129897497
21446629,2024-12-20 22:10:23,0x69f8dfd5894233624215ccf33f3f811aef242660c14a8d10dbfd9009dff0eaf0,13,0x9ba3f47fe7f5a12562ba0a4a5645d8bf9ea1dd8e,-203200,-203000,562273379883077545561686016,4164875761082600876082058061,212355444033395812632
21446632,2024-12-20 22:10:59,0x0efb80d0f09efbdfe6ec909236e01222a8d8033f6324a9aadfe22144a5b362d8,104,0xf89980f60e55633d05e72881ceb866dbb7f50580,-887200,887200,0,0,0
21446645,2024-12-20 22:13:35,0x46d3e54f943020696dbaf6061e130a8a8453e3c0f69246911faeb8e061badc15,83,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,78000,78200,174982088955974892870312,0,86857805780228913443915
21446660,2024-12-20 22:16:47,0x3c80d0070baf0f5fb061f11bf5dafee2d9449cd95f034c3b8ff6c6b602e01b93,74,0xc3db44adc1fcdfd5671f555236eae49f4a8eea18,-88560,-81780,0,0,0
21446665,2024-12-20 22:17:47,0x96e2a1677feea74083266b4bc9e9d53e3cc19c9f7e3a10f6067f84d24a9f9609,20,0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,-187680,-187620,253182647188115352806044847,8306574538096200200477112319,5030883360805443831
